1: sp-clause-activity-inc='1.0', sp-clause-decay='1.4', sp-clause-del-heur='2', sp-clause-inversion='1', sp-first-restart='100', sp-learned-clause-sort-heur='0', sp-learned-clauses-inc='1.3', sp-learned-size-factor='0.4', sp-max-res-lit-inc='1.0', sp-max-res-runs='4', sp-orig-clause-sort-heur='0', sp-phase-dec-heur='5', sp-rand-phase-dec-freq='0.001', sp-rand-phase-scaling='1.0', sp-rand-var-dec-freq='0.001', sp-rand-var-dec-scaling='1.0', sp-res-cutoff-cls='8', sp-res-cutoff-lits='400', sp-res-order-heur='0', sp-resolution='1', sp-restart-inc='1.5', sp-update-dec-queue='1', sp-use-pure-literal-rule='1', sp-var-activity-inc='1.0', sp-var-dec-heur='0', sp-variable-decay='1.4'
2: sp-clause-activity-inc='0.6467275684347829', sp-clause-decay='1.256412106384577', sp-clause-del-heur='1', sp-clause-inversion='0', sp-first-restart='824', sp-learned-clause-sort-heur='5', sp-learned-clauses-inc='1.230547028852027', sp-learned-size-factor='0.11356038683867213', sp-max-res-lit-inc='0.5571173649932105', sp-max-res-runs='9', sp-orig-clause-sort-heur='3', sp-phase-dec-heur='5', sp-rand-phase-dec-freq='0', sp-rand-phase-scaling='0.4517297205630123', sp-rand-var-dec-freq='0.05', sp-rand-var-dec-scaling='0.9497955213708944', sp-res-cutoff-cls='10', sp-res-cutoff-lits='136', sp-res-order-heur='4', sp-resolution='2', sp-restart-inc='1.2440939011363241', sp-update-dec-queue='0', sp-use-pure-literal-rule='0', sp-var-activity-inc='1.3512985279223206', sp-var-dec-heur='1', sp-variable-decay='1.3993912560544577'
3: sp-clause-activity-inc='0.6163348568927906', sp-clause-decay='1.52153730883763', sp-clause-del-heur='0', sp-clause-inversion='1', sp-first-restart='25', sp-learned-clause-sort-heur='8', sp-learned-clauses-inc='1.393857056582633', sp-learned-size-factor='0.10384208156723285', sp-max-res-lit-inc='0.29588066583459677', sp-max-res-runs='6', sp-orig-clause-sort-heur='3', sp-phase-dec-heur='3', sp-rand-phase-dec-freq='0.0001', sp-rand-phase-scaling='0.8439576150825379', sp-rand-var-dec-freq='0.001', sp-rand-var-dec-scaling='0.8647063061752287', sp-res-cutoff-cls='6', sp-res-cutoff-lits='1595', sp-res-order-heur='14', sp-resolution='1', sp-restart-inc='1.4892077886226613', sp-update-dec-queue='0', sp-use-pure-literal-rule='0', sp-var-activity-inc='0.6643394366722335', sp-var-dec-heur='0', sp-variable-decay='1.0050076784024662'
4: sp-clause-activity-inc='1.081463242567245', sp-clause-decay='1.5991763890453672', sp-clause-del-heur='0', sp-clause-inversion='0', sp-first-restart='166', sp-learned-clause-sort-heur='14', sp-learned-clauses-inc='1.1686178556810858', sp-learned-size-factor='0.3164911931778796', sp-max-res-lit-inc='2.558497131404835', sp-max-res-runs='6', sp-orig-clause-sort-heur='5', sp-phase-dec-heur='5', sp-rand-phase-dec-freq='0.05', sp-rand-phase-scaling='1.0951204741920506', sp-rand-var-dec-freq='0.005', sp-rand-var-dec-scaling='0.4246288961460879', sp-res-cutoff-cls='6', sp-res-cutoff-lits='743', sp-res-order-heur='11', sp-resolution='2', sp-restart-inc='1.3156312006759954', sp-update-dec-queue='0', sp-use-pure-literal-rule='0', sp-var-activity-inc='1.1764061691483776', sp-var-dec-heur='15', sp-variable-decay='1.9436605838625645'
5: sp-clause-activity-inc='1.4133665682162952', sp-clause-decay='1.653944815715799', sp-clause-del-heur='1', sp-clause-inversion='1', sp-first-restart='1439', sp-learned-clause-sort-heur='18', sp-learned-clauses-inc='1.2554532409157786', sp-learned-size-factor='0.12465476699140911', sp-max-res-lit-inc='0.5722255751894179', sp-max-res-runs='1', sp-orig-clause-sort-heur='12', sp-phase-dec-heur='0', sp-rand-phase-dec-freq='0.005', sp-rand-phase-scaling='1.0435678498621728', sp-rand-var-dec-freq='0', sp-rand-var-dec-scaling='0.41414612681399543', sp-res-cutoff-cls='10', sp-res-cutoff-lits='560', sp-res-order-heur='4', sp-resolution='1', sp-restart-inc='1.4371125256414354', sp-update-dec-queue='1', sp-use-pure-literal-rule='0', sp-var-activity-inc='1.0384934024832484', sp-var-dec-heur='19', sp-variable-decay='1.9772761118855642'
6: sp-clause-activity-inc='0.5511821532001392', sp-clause-decay='1.0097026380856662', sp-clause-del-heur='0', sp-clause-inversion='0', sp-first-restart='27', sp-learned-clause-sort-heur='16', sp-learned-clauses-inc='1.1964425604195557', sp-learned-size-factor='0.3339959971933541', sp-max-res-lit-inc='1.9092784850759261', sp-max-res-runs='8', sp-orig-clause-sort-heur='19', sp-phase-dec-heur='0', sp-rand-phase-dec-freq='0', sp-rand-phase-scaling='0.8562690529549359', sp-rand-var-dec-freq='0.001', sp-rand-var-dec-scaling='0.9514157518654933', sp-res-cutoff-cls='8', sp-res-cutoff-lits='493', sp-res-order-heur='11', sp-resolution='0', sp-restart-inc='1.2140641775204457', sp-update-dec-queue='1', sp-use-pure-literal-rule='1', sp-var-activity-inc='1.2428322874423527', sp-var-dec-heur='16', sp-variable-decay='1.4078289260803114'
7: sp-clause-activity-inc='0.7874506390021021', sp-clause-decay='1.1728849308591314', sp-clause-del-heur='2', sp-clause-inversion='1', sp-first-restart='962', sp-learned-clause-sort-heur='7', sp-learned-clauses-inc='1.139892819098788', sp-learned-size-factor='0.3306442676890374', sp-max-res-lit-inc='0.4607400236038189', sp-max-res-runs='12', sp-orig-clause-sort-heur='6', sp-phase-dec-heur='6', sp-rand-phase-dec-freq='0.05', sp-rand-phase-scaling='0.4094544777141196', sp-rand-var-dec-freq='0.0001', sp-rand-var-dec-scaling='0.5514229271289801', sp-res-cutoff-cls='14', sp-res-cutoff-lits='244', sp-res-order-heur='6', sp-resolution='2', sp-restart-inc='1.3420752251238837', sp-update-dec-queue='0', sp-use-pure-literal-rule='1', sp-var-activity-inc='0.5231114522484938', sp-var-dec-heur='13', sp-variable-decay='1.4005238612589705'
8: sp-clause-activity-inc='0.7830080700996501', sp-clause-decay='1.9220783454120374', sp-clause-del-heur='0', sp-clause-inversion='0', sp-first-restart='29', sp-learned-clause-sort-heur='18', sp-learned-clauses-inc='1.2903197326718159', sp-learned-size-factor='0.24861988850324354', sp-max-res-lit-inc='0.2652646310088431', sp-max-res-runs='22', sp-orig-clause-sort-heur='11', sp-phase-dec-heur='0', sp-rand-phase-dec-freq='0.01', sp-rand-phase-scaling='1.016232450683396', sp-rand-var-dec-freq='0.01', sp-rand-var-dec-scaling='0.9433906988780314', sp-res-cutoff-cls='16', sp-res-cutoff-lits='1361', sp-res-order-heur='8', sp-resolution='1', sp-restart-inc='1.6726104652528582', sp-update-dec-queue='1', sp-use-pure-literal-rule='0', sp-var-activity-inc='1.1243377043648517', sp-var-dec-heur='11', sp-variable-decay='1.2394324135363224'
9: sp-clause-activity-inc='0.5511821532001392', sp-clause-decay='1.0097026380856662', sp-clause-del-heur='0', sp-clause-inversion='0', sp-first-restart='26', sp-learned-clause-sort-heur='17', sp-learned-clauses-inc='1.1964425604195557', sp-learned-size-factor='0.5612739537742247', sp-max-res-lit-inc='1.9092784850759261', sp-max-res-runs='8', sp-orig-clause-sort-heur='19', sp-phase-dec-heur='1', sp-rand-phase-dec-freq='0', sp-rand-phase-scaling='0.8562690529549359', sp-rand-var-dec-freq='0.001', sp-rand-var-dec-scaling='0.9514157518654933', sp-res-cutoff-cls='8', sp-res-cutoff-lits='493', sp-res-order-heur='11', sp-resolution='0', sp-restart-inc='1.2140641775204457', sp-update-dec-queue='1', sp-use-pure-literal-rule='1', sp-var-activity-inc='1.2428322874423527', sp-var-dec-heur='14', sp-variable-decay='1.4078289260803114'
10: sp-clause-activity-inc='1.1610719927222286', sp-clause-decay='1.560624587371254', sp-clause-del-heur='2', sp-clause-inversion='0', sp-first-restart='39', sp-learned-clause-sort-heur='19', sp-learned-clauses-inc='1.1501071300517487', sp-learned-size-factor='0.2719873612999059', sp-max-res-lit-inc='0.7474216104868254', sp-max-res-runs='13', sp-orig-clause-sort-heur='3', sp-phase-dec-heur='6', sp-rand-phase-dec-freq='0.05', sp-rand-phase-scaling='0.5163122026726125', sp-rand-var-dec-freq='0.001', sp-rand-var-dec-scaling='0.598879354150269', sp-res-cutoff-cls='9', sp-res-cutoff-lits='273', sp-res-order-heur='16', sp-resolution='1', sp-restart-inc='1.4463228023760977', sp-update-dec-queue='0', sp-use-pure-literal-rule='1', sp-var-activity-inc='1.2591881721662552', sp-var-dec-heur='3', sp-variable-decay='1.5503817085609404'
11: sp-clause-activity-inc='0.5511821532001392', sp-clause-decay='1.1655055336288187', sp-clause-del-heur='0', sp-clause-inversion='0', sp-first-restart='26', sp-learned-clause-sort-heur='16', sp-learned-clauses-inc='1.1964425604195557', sp-learned-size-factor='0.5612739537742247', sp-max-res-lit-inc='1.9092784850759261', sp-max-res-runs='8', sp-orig-clause-sort-heur='11', sp-phase-dec-heur='0', sp-rand-phase-dec-freq='0', sp-rand-phase-scaling='0.8562690529549359', sp-rand-var-dec-freq='0.001', sp-rand-var-dec-scaling='0.9514157518654933', sp-res-cutoff-cls='8', sp-res-cutoff-lits='493', sp-res-order-heur='11', sp-resolution='0', sp-restart-inc='1.4245987280080443', sp-update-dec-queue='1', sp-use-pure-literal-rule='1', sp-var-activity-inc='1.2428322874423527', sp-var-dec-heur='14', sp-variable-decay='1.4078289260803114'
