Run Number,Run History Configuration ID,Instance ID,Response Value (y),Censored?,Cutoff Time Used,Seed,Runtime,Run Length,Run Result Code,Run Quality,SMAC Iteration,SMAC Cumulative Runtime,Run Result,Additional Algorithm Run Data,Wall Clock Time,
1,1,4,0.01,0,5.0,3699413,0.01,0.0,2,0.0,0,0.01,UNSAT,,0.065,
2,1,2,0.0,0,5.0,15963022,0.0,0.0,2,0.0,1,0.01,UNSAT,,0.054,
3,2,2,0.0,0,1.0026002157211304,15963022,0.0,0.0,2,0.0,1,0.01,UNSAT,,0.055,
4,2,4,0.01,0,1.0169002640724183,3699413,0.01,0.0,2,0.0,1,0.02,UNSAT,,0.054,
5,1,3,0.19,0,5.0,5574276,0.19,0.0,2,0.0,1,0.21,UNSAT,,0.254,
6,3,4,0.02,0,1.015600048351288,3699413,0.02,0.0,2,0.0,1,0.22999999999999998,UNSAT,,0.054,
7,1,1,0.0,0,5.0,15828581,0.0,0.0,2,0.0,1,0.22999999999999998,UNSAT,,0.054,
8,4,1,0.0,0,1.0026002157211304,15828581,0.0,0.0,2,0.0,1,0.22999999999999998,UNSAT,,0.053,
9,4,4,0.01,0,1.265200399208069,3699413,0.01,0.0,2,0.0,1,0.24,UNSAT,,0.054,
10,4,3,1.2522005665779115,1,1.2522005665779115,5574276,1.01,0.0,0,0.0,1,1.25,TIMEOUT,,1.084,
11,1,5,0.01,0,5.0,7651328,0.01,0.0,2,0.0,2,1.26,UNSAT,,0.085,
12,5,1,0.01,0,1.0026002157211304,15828581,0.01,0.0,2,0.0,2,1.27,UNSAT,,0.081,
13,1,5,0.01,0,5.0,7694943,0.01,0.0,2,0.0,2,1.28,UNSAT,,0.054,
14,3,3,0.19,0,1.2379005182266236,5574276,0.19,0.0,2,0.0,2,1.47,UNSAT,,0.264,
15,1,2,0.01,0,5.0,6550447,0.01,0.0,2,0.0,2,1.48,UNSAT,,0.056,
16,6,5,0.01,0,1.015600048351288,7651328,0.01,0.0,2,0.0,2,1.49,UNSAT,,0.053,
17,6,1,0.0,0,1.2522005665779115,15828581,0.0,0.0,2,0.0,2,1.49,UNSAT,,0.055,
18,6,3,0.03,0,1.2522005665779115,5574276,0.03,0.0,2,0.0,2,1.52,UNSAT,,0.083,
19,6,5,0.01,0,1.4823000061988831,7694943,0.01,0.0,2,0.0,2,1.53,UNSAT,,0.053,
20,6,2,0.0,0,1.4693001735687257,15963022,0.0,0.0,2,0.0,2,1.53,UNSAT,,0.057,
21,6,4,0.01,0,1.2353000867843629,3699413,0.01,0.0,2,0.0,2,1.54,UNSAT,,0.053,
22,6,2,0.0,0,1.4433005083084107,6550447,0.0,0.0,2,0.0,2,1.54,UNSAT,,0.055,
23,6,1,0.0,0,5.0,16476193,0.0,0.0,2,0.0,3,1.54,UNSAT,,0.055,
24,7,4,0.01,0,1.015600048351288,3699413,0.01,0.0,2,0.0,3,1.55,UNSAT,,0.053,
25,7,5,0.01,0,1.0325005281448365,7651328,0.01,0.0,2,0.0,3,1.56,UNSAT,,0.053,
26,7,5,0.01,0,1.019500695514679,7694943,0.01,0.0,2,0.0,3,1.57,UNSAT,,0.054,
27,7,2,0.0,0,1.0923003781318665,15963022,0.0,0.0,2,0.0,3,1.57,UNSAT,,0.053,
28,7,1,0.0,0,1.0468005764961243,16476193,0.0,0.0,2,0.0,3,1.57,UNSAT,,0.057,
29,7,2,0.0,0,1.0923003781318665,6550447,0.0,0.0,2,0.0,3,1.57,UNSAT,,0.053,
30,7,3,1.0468005764961243,1,1.0468005764961243,5574276,1.01,0.0,0,0.0,3,2.58,TIMEOUT,,1.062,
31,6,4,0.0,0,5.0,1227591,0.0,0.0,2,0.0,3,2.58,UNSAT,,0.053,
32,8,2,0.01,0,1.0026002157211304,6550447,0.01,0.0,2,0.0,3,2.59,UNSAT,,0.053,
33,6,3,0.04,0,5.0,6556430,0.04,0.0,2,0.0,4,2.63,UNSAT,,0.081,
34,9,1,0.0,0,1.0026002157211304,15828581,0.0,0.0,2,0.0,4,2.63,UNSAT,,0.053,
35,9,2,0.0,0,1.0065000880241395,15963022,0.0,0.0,2,0.0,4,2.63,UNSAT,,0.054,
36,9,2,0.0,0,1.0065000880241395,6550447,0.0,0.0,2,0.0,4,2.63,UNSAT,,0.053,
37,9,5,0.0,0,1.0728002417564393,7694943,0.0,0.0,2,0.0,4,2.63,UNSAT,,0.055,
38,9,1,0.0,0,1.1443004835128785,16476193,0.0,0.0,2,0.0,4,2.63,UNSAT,,0.053,
39,9,3,0.92,0,1.0728002417564393,6556430,0.92,0.0,2,0.0,4,3.55,UNSAT,,1.033,
40,6,2,0.0,0,5.0,6891603,0.0,0.0,2,0.0,4,3.55,UNSAT,,0.054,
41,10,4,0.0,0,1.0091005194664002,1227591,0.0,0.0,2,0.0,4,3.55,UNSAT,,0.054,
42,10,3,0.2,0,1.0572007525444032,6556430,0.2,0.0,2,0.0,4,3.75,UNSAT,,0.258,
43,6,1,0.0,0,5.0,1638691,0.0,0.0,2,0.0,5,3.75,UNSAT,,0.054,
44,11,3,1.0481000173568726,1,1.0481000173568726,5574276,1.01,0.0,0,0.0,5,4.76,TIMEOUT,,1.083,
45,6,3,0.04,0,5.0,13612089,0.04,0.0,2,0.0,5,4.8,UNSAT,,0.081,
46,12,4,0.0,0,1.0091005194664002,1227591,0.0,0.0,2,0.0,5,4.8,UNSAT,,0.053,
47,12,3,1.059367262172699,1,1.059367262172699,6556430,1.02,0.0,0,0.0,5,5.82,TIMEOUT,,1.102,
48,6,4,0.0,0,5.0,13859695,0.0,0.0,2,0.0,6,5.82,UNSAT,,0.061,
49,13,2,0.0,0,1.0026002157211304,15963022,0.0,0.0,2,0.0,6,5.82,UNSAT,,0.054,
50,13,1,0.0,0,1.0528669584274293,16476193,0.0,0.0,2,0.0,6,5.82,UNSAT,,0.054,
51,13,3,0.36,0,1.0528669584274293,13612089,0.36,0.0,2,0.0,6,6.180000000000001,UNSAT,,0.429,
52,6,5,0.01,0,5.0,6963985,0.01,0.0,2,0.0,6,6.19,UNSAT,,0.053,
53,14,3,0.09,0,1.0502673018455506,13612089,0.09,0.0,2,0.0,6,6.28,UNSAT,,0.154,
54,6,5,0.01,0,5.0,7978789,0.01,0.0,2,0.0,6,6.29,UNSAT,,0.053,
55,15,2,0.0,0,1.0026002157211304,15963022,0.0,0.0,2,0.0,6,6.29,UNSAT,,0.053,
56,15,1,0.0,0,1.0065000880241395,1638691,0.0,0.0,2,0.0,6,6.29,UNSAT,,0.055,
57,15,1,0.01,0,1.0065000880241395,16476193,0.01,0.0,2,0.0,6,6.3,UNSAT,,0.053,
