1: sp-clause-activity-inc='1.0', sp-clause-decay='1.4', sp-clause-del-heur='2', sp-clause-inversion='1', sp-first-restart='100', sp-learned-clause-sort-heur='0', sp-learned-clauses-inc='1.3', sp-learned-size-factor='0.4', sp-max-res-lit-inc='1.0', sp-max-res-runs='4', sp-orig-clause-sort-heur='0', sp-phase-dec-heur='5', sp-rand-phase-dec-freq='0.001', sp-rand-phase-scaling='1.0', sp-rand-var-dec-freq='0.001', sp-rand-var-dec-scaling='1.0', sp-res-cutoff-cls='8', sp-res-cutoff-lits='400', sp-res-order-heur='0', sp-resolution='1', sp-restart-inc='1.5', sp-update-dec-queue='1', sp-use-pure-literal-rule='1', sp-var-activity-inc='1.0', sp-var-dec-heur='0', sp-variable-decay='1.4'
2: sp-clause-activity-inc='1.401878489659146', sp-clause-decay='1.1604003043049471', sp-clause-del-heur='0', sp-clause-inversion='1', sp-first-restart='3182', sp-learned-clause-sort-heur='15', sp-learned-clauses-inc='1.4149627134938036', sp-learned-size-factor='0.5432162057989669', sp-max-res-lit-inc='1.5601015917933931', sp-max-res-runs='19', sp-orig-clause-sort-heur='13', sp-phase-dec-heur='2', sp-rand-phase-dec-freq='0.0001', sp-rand-phase-scaling='0.7731173349290821', sp-rand-var-dec-freq='0.005', sp-rand-var-dec-scaling='1.0802743795702154', sp-res-cutoff-cls='2', sp-res-cutoff-lits='280', sp-res-order-heur='0', sp-resolution='1', sp-restart-inc='1.429175805025766', sp-update-dec-queue='1', sp-use-pure-literal-rule='0', sp-var-activity-inc='1.164084841783981', sp-var-dec-heur='7', sp-variable-decay='1.522382201174738'
3: sp-clause-activity-inc='1.1756352712089524', sp-clause-decay='1.1446179036229582', sp-clause-del-heur='2', sp-clause-inversion='1', sp-first-restart='60', sp-learned-clause-sort-heur='3', sp-learned-clauses-inc='1.1662825037783815', sp-learned-size-factor='0.7370035788992196', sp-max-res-lit-inc='0.5931387437676995', sp-max-res-runs='4', sp-orig-clause-sort-heur='15', sp-phase-dec-heur='3', sp-rand-phase-dec-freq='0.01', sp-rand-phase-scaling='0.7085189249908208', sp-rand-var-dec-freq='0.005', sp-rand-var-dec-scaling='0.9436644669832255', sp-res-cutoff-cls='12', sp-res-cutoff-lits='244', sp-res-order-heur='13', sp-resolution='0', sp-restart-inc='1.854351308162836', sp-update-dec-queue='1', sp-use-pure-literal-rule='1', sp-var-activity-inc='0.5911438379194462', sp-var-dec-heur='1', sp-variable-decay='1.181945010152365'
4: sp-clause-activity-inc='0.622864717893659', sp-clause-decay='1.2553548356488808', sp-clause-del-heur='2', sp-clause-inversion='0', sp-first-restart='2470', sp-learned-clause-sort-heur='2', sp-learned-clauses-inc='1.1236217340574164', sp-learned-size-factor='0.726293965271164', sp-max-res-lit-inc='1.715534747820661', sp-max-res-runs='1', sp-orig-clause-sort-heur='6', sp-phase-dec-heur='3', sp-rand-phase-dec-freq='0.005', sp-rand-phase-scaling='1.0642890915958567', sp-rand-var-dec-freq='0.01', sp-rand-var-dec-scaling='0.36243203733847446', sp-res-cutoff-cls='17', sp-res-cutoff-lits='273', sp-res-order-heur='2', sp-resolution='0', sp-restart-inc='1.1911690604506004', sp-update-dec-queue='0', sp-use-pure-literal-rule='1', sp-var-activity-inc='0.708921607445718', sp-var-dec-heur='5', sp-variable-decay='1.7128519286147499'
5: sp-clause-activity-inc='1.1572517215139237', sp-clause-decay='1.1889631976650057', sp-clause-del-heur='1', sp-clause-inversion='1', sp-first-restart='1862', sp-learned-clause-sort-heur='19', sp-learned-clauses-inc='1.4970740213521885', sp-learned-size-factor='0.34093696112790545', sp-max-res-lit-inc='1.108648467869803', sp-max-res-runs='1', sp-orig-clause-sort-heur='5', sp-phase-dec-heur='5', sp-rand-phase-dec-freq='0.05', sp-rand-phase-scaling='0.5179925891325988', sp-rand-var-dec-freq='0', sp-rand-var-dec-scaling='0.3109465897269653', sp-res-cutoff-cls='7', sp-res-cutoff-lits='729', sp-res-order-heur='0', sp-resolution='2', sp-restart-inc='1.372033906715248', sp-update-dec-queue='1', sp-use-pure-literal-rule='1', sp-var-activity-inc='0.8075933849468665', sp-var-dec-heur='12', sp-variable-decay='1.1128234165194568'
6: sp-clause-activity-inc='0.5268100598260671', sp-clause-decay='1.1033977377781854', sp-clause-del-heur='0', sp-clause-inversion='0', sp-first-restart='332', sp-learned-clause-sort-heur='10', sp-learned-clauses-inc='1.3551384413976042', sp-learned-size-factor='1.0144966033709837', sp-max-res-lit-inc='0.43391942735563493', sp-max-res-runs='15', sp-orig-clause-sort-heur='11', sp-phase-dec-heur='1', sp-rand-phase-dec-freq='0.0001', sp-rand-phase-scaling='0.7247227632355827', sp-rand-var-dec-freq='0.01', sp-rand-var-dec-scaling='0.7331643729411288', sp-res-cutoff-cls='4', sp-res-cutoff-lits='355', sp-res-order-heur='15', sp-resolution='1', sp-restart-inc='1.5810852890781597', sp-update-dec-queue='0', sp-use-pure-literal-rule='1', sp-var-activity-inc='1.0919796315413923', sp-var-dec-heur='15', sp-variable-decay='1.5269954995464428'
7: sp-clause-activity-inc='1.4105334158973326', sp-clause-decay='1.5640587538693889', sp-clause-del-heur='1', sp-clause-inversion='1', sp-first-restart='463', sp-learned-clause-sort-heur='8', sp-learned-clauses-inc='1.2149902953090352', sp-learned-size-factor='0.5409388447529365', sp-max-res-lit-inc='2.0225797207826792', sp-max-res-runs='17', sp-orig-clause-sort-heur='5', sp-phase-dec-heur='3', sp-rand-phase-dec-freq='0', sp-rand-phase-scaling='0.9750055636874135', sp-rand-var-dec-freq='0.0001', sp-rand-var-dec-scaling='0.6025014461924545', sp-res-cutoff-cls='20', sp-res-cutoff-lits='341', sp-res-order-heur='1', sp-resolution='0', sp-restart-inc='1.807853476495921', sp-update-dec-queue='1', sp-use-pure-literal-rule='0', sp-var-activity-inc='1.4476765748464997', sp-var-dec-heur='17', sp-variable-decay='1.2506344378871892'
8: sp-clause-activity-inc='1.0987302841672753', sp-clause-decay='1.2028450318777157', sp-clause-del-heur='0', sp-clause-inversion='1', sp-first-restart='223', sp-learned-clause-sort-heur='1', sp-learned-clauses-inc='1.3105857272693202', sp-learned-size-factor='0.2340915937157246', sp-max-res-lit-inc='0.4063565014653604', sp-max-res-runs='4', sp-orig-clause-sort-heur='12', sp-phase-dec-heur='0', sp-rand-phase-dec-freq='0.05', sp-rand-phase-scaling='0.9809008266942625', sp-rand-var-dec-freq='0.01', sp-rand-var-dec-scaling='0.7600768752715817', sp-res-cutoff-cls='7', sp-res-cutoff-lits='1309', sp-res-order-heur='9', sp-resolution='2', sp-restart-inc='1.4390636880652905', sp-update-dec-queue='0', sp-use-pure-literal-rule='0', sp-var-activity-inc='1.2573843390545472', sp-var-dec-heur='12', sp-variable-decay='1.4291471003463405'
9: sp-clause-activity-inc='0.5512665815508304', sp-clause-decay='1.301953514980355', sp-clause-del-heur='1', sp-clause-inversion='0', sp-first-restart='219', sp-learned-clause-sort-heur='7', sp-learned-clauses-inc='1.4911209818695588', sp-learned-size-factor='0.5640794158388219', sp-max-res-lit-inc='1.096631528230672', sp-max-res-runs='27', sp-orig-clause-sort-heur='19', sp-phase-dec-heur='0', sp-rand-phase-dec-freq='0.01', sp-rand-phase-scaling='0.43974772589074645', sp-rand-var-dec-freq='0.05', sp-rand-var-dec-scaling='0.5538567258867084', sp-res-cutoff-cls='18', sp-res-cutoff-lits='226', sp-res-order-heur='19', sp-resolution='0', sp-restart-inc='1.1213356728829602', sp-update-dec-queue='1', sp-use-pure-literal-rule='0', sp-var-activity-inc='0.7643480128830338', sp-var-dec-heur='5', sp-variable-decay='1.0797745862245758'
10: sp-clause-activity-inc='0.5268100598260671', sp-clause-decay='1.1033977377781854', sp-clause-del-heur='0', sp-clause-inversion='0', sp-first-restart='122', sp-learned-clause-sort-heur='19', sp-learned-clauses-inc='1.3551384413976042', sp-learned-size-factor='1.0144966033709837', sp-max-res-lit-inc='0.43391942735563493', sp-max-res-runs='15', sp-orig-clause-sort-heur='18', sp-phase-dec-heur='1', sp-rand-phase-dec-freq='0.0001', sp-rand-phase-scaling='0.7247227632355827', sp-rand-var-dec-freq='0', sp-rand-var-dec-scaling='0.7331643729411288', sp-res-cutoff-cls='4', sp-res-cutoff-lits='355', sp-res-order-heur='15', sp-resolution='1', sp-restart-inc='1.3262438635284348', sp-update-dec-queue='0', sp-use-pure-literal-rule='1', sp-var-activity-inc='1.0919796315413923', sp-var-dec-heur='4', sp-variable-decay='1.5269954995464428'
11: sp-clause-activity-inc='0.5045506270162317', sp-clause-decay='1.0633033222687325', sp-clause-del-heur='0', sp-clause-inversion='1', sp-first-restart='903', sp-learned-clause-sort-heur='13', sp-learned-clauses-inc='1.2531830050694266', sp-learned-size-factor='0.33219074506137053', sp-max-res-lit-inc='0.28920388234315264', sp-max-res-runs='6', sp-orig-clause-sort-heur='4', sp-phase-dec-heur='2', sp-rand-phase-dec-freq='0.05', sp-rand-phase-scaling='0.8281203417196257', sp-rand-var-dec-freq='0.01', sp-rand-var-dec-scaling='0.5515030633981531', sp-res-cutoff-cls='15', sp-res-cutoff-lits='1113', sp-res-order-heur='12', sp-resolution='0', sp-restart-inc='1.7008000753596724', sp-update-dec-queue='1', sp-use-pure-literal-rule='0', sp-var-activity-inc='0.8103977284504604', sp-var-dec-heur='15', sp-variable-decay='1.2903764825537263'
